ID_N,CENTRE_N,TO_FROM_CENTRE_I,CENTRE_WEEK_DAY,CENTRE_TIME_RANGE,AM_CG,WC_N
1,AMK,(1) To Centre,(1) Mon,0800-0900,14,0
2,AMK,(1) To Centre,(1) Mon,0900-1000,12,1
3,AMK,(1) To Centre,(1) Mon,1000-1100,1,2
4,AMK,(1) To Centre,(1) Mon,1300-1400,2,4
5,AMK,(1) To Centre,(2) Tue,0800-0900,14,0
6,AMK,(1) To Centre,(2) Tue,0900-1000,11,1
7,AMK,(1) To Centre,(2) Tue,1000-1100,1,1
8,AMK,(1) To Centre,(2) Tue,1300-1400,3,4
9,AMK,(1) To Centre,(3) Wed,0800-0900,14,0
10,AMK,(1) To Centre,(3) Wed,0900-1000,12,1
11,AMK,(1) To Centre,(3) Wed,1000-1100,2,3
12,AMK,(1) To Centre,(3) Wed,1300-1400,2,2
13,AMK,(1) To Centre,(4) Thu,0800-0900,14,0
14,AMK,(1) To Centre,(4) Thu,0900-1000,12,1
15,AMK,(1) To Centre,(4) Thu,1000-1100,1,2
16,AMK,(1) To Centre,(5) Fri,0800-0900,14,0
17,AMK,(1) To Centre,(5) Fri,0900-1000,12,1
18,AMK,(1) To Centre,(5) Fri,1000-1100,2,3
19,AMK,(1) To Centre,(5) Fri,1300-1400,2,3
20,AMK,(2) From Centre,(1) Mon,1100-1200,1,2
21,AMK,(2) From Centre,(1) Mon,1400-1500,2,4
22,AMK,(2) From Centre,(1) Mon,1500-1600,14,0
23,AMK,(2) From Centre,(1) Mon,1600-1700,12,1
24,AMK,(2) From Centre,(2) Tue,1100-1200,1,1
25,AMK,(2) From Centre,(2) Tue,1400-1500,4,4
26,AMK,(2) From Centre,(2) Tue,1500-1600,14,0
27,AMK,(2) From Centre,(2) Tue,1600-1700,11,1
28,AMK,(2) From Centre,(3) Wed,1100-1200,3,3
29,AMK,(2) From Centre,(3) Wed,1400-1500,2,2
30,AMK,(2) From Centre,(3) Wed,1500-1600,14,0
31,AMK,(2) From Centre,(3) Wed,1600-1700,12,1
32,AMK,(2) From Centre,(4) Thu,1100-1200,1,2
33,AMK,(2) From Centre,(4) Thu,1500-1600,14,0
34,AMK,(2) From Centre,(4) Thu,1600-1700,12,1
35,AMK,(2) From Centre,(5) Fri,1100-1200,3,3
36,AMK,(2) From Centre,(5) Fri,1400-1500,2,3
37,AMK,(2) From Centre,(5) Fri,1500-1600,14,0
38,AMK,(2) From Centre,(5) Fri,1600-1700,12,1
39,APC,(1) To Centre,(1) Mon,0800-0900,8,1
40,APC,(1) To Centre,(1) Mon,0900-1000,0,3
41,APC,(1) To Centre,(1) Mon,1300-1400,2,2
42,APC,(1) To Centre,(2) Tue,0800-0900,8,1
43,APC,(1) To Centre,(2) Tue,0900-1000,0,3
44,APC,(1) To Centre,(2) Tue,1300-1400,4,3
45,APC,(1) To Centre,(3) Wed,0800-0900,8,1
46,APC,(1) To Centre,(3) Wed,0900-1000,0,3
47,APC,(1) To Centre,(3) Wed,1000-1100,2,2
48,APC,(1) To Centre,(4) Thu,0800-0900,8,1
49,APC,(1) To Centre,(4) Thu,0900-1000,0,3
50,APC,(1) To Centre,(4) Thu,1300-1400,3,2
51,APC,(1) To Centre,(5) Fri,0800-0900,8,1
52,APC,(1) To Centre,(5) Fri,0900-1000,0,3
53,APC,(1) To Centre,(5) Fri,1000-1100,2,1
54,APC,(2) From Centre,(1) Mon,1400-1500,2,2
55,APC,(2) From Centre,(1) Mon,1500-1600,4,1
56,APC,(2) From Centre,(1) Mon,1600-1700,0,3
57,APC,(2) From Centre,(1) Mon,1700-1800,4,0
58,APC,(2) From Centre,(2) Tue,1400-1500,4,3
59,APC,(2) From Centre,(2) Tue,1500-1600,4,1
60,APC,(2) From Centre,(2) Tue,1600-1700,0,3
61,APC,(2) From Centre,(2) Tue,1700-1800,4,0
62,APC,(2) From Centre,(3) Wed,1100-1200,2,2
63,APC,(2) From Centre,(3) Wed,1500-1600,4,1
64,APC,(2) From Centre,(3) Wed,1600-1700,0,3
65,APC,(2) From Centre,(3) Wed,1700-1800,4,0
66,APC,(2) From Centre,(4) Thu,1400-1500,3,2
67,APC,(2) From Centre,(4) Thu,1500-1600,4,1
68,APC,(2) From Centre,(4) Thu,1600-1700,0,3
69,APC,(2) From Centre,(4) Thu,1700-1800,4,0
70,APC,(2) From Centre,(5) Fri,1100-1200,2,1
71,APC,(2) From Centre,(5) Fri,1500-1600,4,1
72,APC,(2) From Centre,(5) Fri,1600-1700,0,3
73,APC,(2) From Centre,(5) Fri,1700-1800,4,0
74,KBC,(1) To Centre,(1) Mon,0800-0900,7,2
75,KBC,(1) To Centre,(1) Mon,0900-1000,5,5
76,KBC,(1) To Centre,(1) Mon,1000-1100,5,4
77,KBC,(1) To Centre,(1) Mon,1200-1300,1,1
78,KBC,(1) To Centre,(1) Mon,1400-1500,0,2
79,KBC,(1) To Centre,(2) Tue,0800-0900,7,2
80,KBC,(1) To Centre,(2) Tue,0900-1000,5,5
81,KBC,(1) To Centre,(2) Tue,1000-1100,5,3
82,KBC,(1) To Centre,(2) Tue,1200-1300,1,1
83,KBC,(1) To Centre,(2) Tue,1400-1500,1,1
84,KBC,(1) To Centre,(3) Wed,0800-0900,7,2
85,KBC,(1) To Centre,(3) Wed,0900-1000,5,4
86,KBC,(1) To Centre,(3) Wed,1000-1100,5,4
87,KBC,(1) To Centre,(3) Wed,1200-1300,1,1
88,KBC,(1) To Centre,(3) Wed,1400-1500,2,1
89,KBC,(1) To Centre,(4) Thu,0800-0900,7,2
90,KBC,(1) To Centre,(4) Thu,0900-1000,5,5
91,KBC,(1) To Centre,(4) Thu,1000-1100,5,3
92,KBC,(1) To Centre,(4) Thu,1200-1300,0,2
93,KBC,(1) To Centre,(5) Fri,0800-0900,7,2
94,KBC,(1) To Centre,(5) Fri,0900-1000,5,4
95,KBC,(1) To Centre,(5) Fri,1000-1100,5,4
96,KBC,(1) To Centre,(5) Fri,1200-1300,1,1
97,KBC,(1) To Centre,(5) Fri,1400-1500,1,0
98,KBC,(2) From Centre,(1) Mon,1500-1600,9,3
99,KBC,(2) From Centre,(1) Mon,1600-1700,7,3
100,KBC,(2) From Centre,(1) Mon,1700-1800,3,6
101,KBC,(2) From Centre,(2) Tue,1500-1600,9,3
102,KBC,(2) From Centre,(2) Tue,1600-1700,8,2
103,KBC,(2) From Centre,(2) Tue,1700-1800,2,6
104,KBC,(2) From Centre,(3) Wed,1500-1600,9,2
105,KBC,(2) From Centre,(3) Wed,1600-1700,7,3
106,KBC,(2) From Centre,(3) Wed,1700-1800,3,5
107,KBC,(2) From Centre,(4) Thu,1500-1600,9,3
108,KBC,(2) From Centre,(4) Thu,1600-1700,8,2
109,KBC,(2) From Centre,(4) Thu,1700-1800,2,6
110,KBC,(2) From Centre,(5) Fri,1500-1600,9,2
111,KBC,(2) From Centre,(5) Fri,1600-1700,7,3
112,KBC,(2) From Centre,(5) Fri,1700-1800,3,4
