ID_N, SRC_POSTAL_CODE, DES_POSTAL_CODE, DISTANCE_MT, SEC_N, DISTANCE_KM, MIN_N, T
1,560576,560573,212,64,0.2,1.1,0
2,560576,560311,1781,394,1.8,6.6,0
3,560576,560323,1692,364,1.7,6.1,0
4,560576,560301,2380,475,2.4,7.9,0
5,560576,560244,4270,678,4.3,11.3,0
6,560576,560219,4576,692,4.6,11.5,0
7,560576,560214,2505,519,2.5,8.6,0
8,560576,575921,3322,604,3.3,10.1,0
9,560576,789452,3586,641,3.6,10.7,0
10,560576,560350,2046,404,2,6.7,0
11,560576,560336,2225,466,2.2,7.8,0
12,560576,560533,519,150,0.5,2.5,0
13,560576,560561,1221,280,1.2,4.7,0
14,560573,560576,212,67,0.2,1.1,0
15,560573,560311,1697,396,1.7,6.6,0
16,560573,560323,1608,366,1.6,6.1,0
17,560573,560301,2296,477,2.3,8,0
18,560573,560244,4387,712,4.4,11.9,0
19,560573,560219,4492,694,4.5,11.6,0
20,560573,560214,2421,521,2.4,8.7,0
21,560573,575921,3439,638,3.4,10.6,0
22,560573,789452,3703,676,3.7,11.3,0
23,560573,560350,1962,406,2,6.8,0
24,560573,560336,2141,468,2.1,7.8,0
25,560573,560533,636,184,0.6,3.1,0
26,560573,560561,1137,282,1.1,4.7,0
27,560311,560576,1528,346,1.5,5.8,0
28,560311,560573,1444,353,1.4,5.9,0
29,560311,560323,242,91,0.2,1.5,0
30,560311,560301,570,152,0.6,2.5,0
31,560311,560244,2767,393,2.8,6.6,0
32,560311,560219,2275,413,2.3,6.9,0
33,560311,560214,1130,266,1.1,4.4,0
34,560311,575921,3495,486,3.5,8.1,0
35,560311,789452,3695,631,3.7,10.5,0
36,560311,560350,618,171,0.6,2.8,0
37,560311,560336,797,233,0.8,3.9,0
38,560311,560533,1953,462,2,7.7,0
39,560311,560561,2323,528,2.3,8.8,0
40,560323,560576,1772,436,1.8,7.3,0
41,560323,560573,1688,443,1.7,7.4,0
42,560323,560311,242,89,0.2,1.5,0
43,560323,560301,320,148,0.3,2.5,0
44,560323,560244,2881,437,2.9,7.3,0
45,560323,560219,2462,475,2.5,7.9,0
46,560323,560214,1162,286,1.2,4.8,0
47,560323,575921,2698,491,2.7,8.2,0
48,560323,789452,3398,610,3.4,10.2,0
49,560323,560350,862,261,0.9,4.4,0
50,560323,560336,1041,323,1,5.4,0
51,560323,560533,2671,485,2.7,8.1,0
52,560323,560561,2568,618,2.6,10.3,0
53,560301,560576,1811,400,1.8,6.7,0
54,560301,560573,1727,407,1.7,6.8,0
55,560301,560311,547,147,0.5,2.4,0
56,560301,560323,319,109,0.3,1.8,0
57,560301,560244,2507,352,2.5,5.9,0
58,560301,560219,2015,373,2,6.2,0
59,560301,560214,869,225,0.9,3.8,0
60,560301,575921,3235,445,3.2,7.4,0
61,560301,789452,3435,591,3.4,9.8,0
62,560301,560350,901,225,0.9,3.8,0
63,560301,560336,1080,287,1.1,4.8,0
64,560301,560533,2708,467,2.7,7.8,0
65,560301,560561,2606,582,2.6,9.7,0
66,560244,560576,2634,489,2.6,8.2,0
67,560244,560573,2550,497,2.6,8.3,0
68,560244,560311,1962,333,2,5.6,0
69,560244,560323,1841,331,1.8,5.5,0
70,560244,560301,1704,291,1.7,4.8,0
71,560244,560219,855,150,0.9,2.5,0
72,560244,560214,933,177,0.9,3,0
73,560244,575921,1654,266,1.7,4.4,0
74,560244,789452,2555,443,2.6,7.4,0
75,560244,560350,1836,240,1.8,4,0
76,560244,560336,2144,338,2.1,5.6,0
77,560244,560533,3590,531,3.6,8.8,0
78,560244,560561,3430,672,3.4,11.2,0
79,560219,560576,2331,535,2.3,8.9,0
80,560219,560573,2247,543,2.2,9,0
81,560219,560311,1485,346,1.5,5.8,0
82,560219,560323,1364,345,1.4,5.8,0
83,560219,560301,1227,304,1.2,5.1,0
84,560219,560244,2364,323,2.4,5.4,0
85,560219,560214,1297,307,1.3,5.1,0
86,560219,575921,3092,416,3.1,6.9,0
87,560219,789452,3993,593,4,9.9,0
88,560219,560350,1360,254,1.4,4.2,0
89,560219,560336,1667,351,1.7,5.8,0
90,560219,560533,3301,586,3.3,9.8,0
91,560219,560561,3127,718,3.1,12,0
92,560214,560576,2064,445,2.1,7.4,0
93,560214,560573,1980,453,2,7.6,0
94,560214,560311,1129,265,1.1,4.4,0
95,560214,560323,1008,263,1,4.4,0
96,560214,560301,871,223,0.9,3.7,0
97,560214,560244,2237,338,2.2,5.6,0
98,560214,560219,1171,247,1.2,4.1,0
99,560214,575921,2044,350,2,5.8,0
100,560214,789452,2944,527,2.9,8.8,0
101,560214,560350,1574,292,1.6,4.9,0
102,560214,560336,1882,390,1.9,6.5,0
103,560214,560533,3019,487,3,8.1,0
104,560214,560561,2859,628,2.9,10.5,0
105,575921,560576,3355,575,3.4,9.6,0
106,575921,560573,3472,606,3.5,10.1,0
107,575921,560311,3497,508,3.5,8.5,0
108,575921,560323,3376,506,3.4,8.4,0
109,575921,560301,3239,465,3.2,7.8,0
110,575921,560244,1526,174,1.5,2.9,0
111,575921,560219,2390,324,2.4,5.4,0
112,575921,560214,2468,352,2.5,5.9,0
113,575921,789452,971,190,1,3.2,0
114,575921,560350,3372,415,3.4,6.9,0
115,575921,560336,3679,513,3.7,8.6,0
116,575921,560533,2966,498,3,8.3,0
117,575921,560561,3953,714,4,11.9,0
118,789452,560576,3642,662,3.6,11,0
119,789452,560573,3759,693,3.8,11.6,0
120,789452,560311,4448,646,4.4,10.8,0
121,789452,560323,4328,644,4.3,10.7,0
122,789452,560301,4190,603,4.2,10,0
123,789452,560244,2477,312,2.5,5.2,0
124,789452,560219,3341,463,3.3,7.7,0
125,789452,560214,3420,490,3.4,8.2,0
126,789452,575921,1099,196,1.1,3.3,0
127,789452,560350,4323,553,4.3,9.2,0
