ID_N, CLIENT_ID, TIME_REQUEST_ID,  SEQ_N, TIME_DUR_SEC, VEHICLE_NO, SCN_N, VEHICLE_TYPE, WC_MAX, AM_CG_MAX
0,0,1,0,396,1,1,3,0,8
1,0,1,0,45,2,1,3,0,8
2,1,1,1,64,1,1,3,0,8
3,2,1,2,282,1,1,3,0,8
4,3,1,5,91,2,1,3,0,8
5,4,1,6,148,2,1,3,0,8
6,5,1,7,221,2,1,3,0,8
7,6,1,7,158,1,1,3,0,8
8,7,1,2,254,2,1,3,0,8
9,8,1,1,247,2,1,3,0,8
10,28,1,6,174,1,1,3,0,8
11,29,1,5,196,1,1,3,0,8
12,30,1,3,126,2,1,3,0,8
13,31,1,4,280,2,1,3,0,8
14,32,1,4,574,1,1,3,0,8
15,33,1,3,350,1,1,3,0,8
0,0,2,0,249,1,1,2,2,7
1,0,2,0,513,2,1,3,0,8
2,9,2,1,597,2,1,3,0,8
3,10,2,3,64,1,1,2,2,7
4,11,2,4,115,1,1,2,2,7
5,12,2,5,208,1,1,2,2,7
6,13,2,6,223,1,1,2,2,7
7,14,2,7,417,1,1,2,2,7
8,15,2,2,412,1,1,2,2,7
9,34,2,3,533,2,1,3,0,8
10,35,2,5,738,2,1,3,0,8
11,36,2,4,206,2,1,3,0,8
12,37,2,2,312,2,1,3,0,8
13,38,2,1,212,1,1,2,2,7
14,39,2,6,117,2,1,3,0,8
