ID_N, SRC_POSTAL_CODE, DES_POSTAL_CODE, DISTANCE_MT, DISTANCE_KM, MIN_N, T
1,520350,520350,0,0,0,0
2,520350,520321,1117,1.117,4.95,0
3,520350,523876,5291,5.291,15.0667,0
4,520350,520916,3867,3.867,11.65,0
5,520350,525495,2845,2.845,10.5833,0
6,520350,520424,3122,3.122,10.05,0
7,520350,521150,3148,3.148,10.9167,0
8,520350,520341,696,0.696,3.43333,0
9,520350,520297,1973,1.973,6.65,0
10,520350,520267,2256,2.256,8.3,0
11,520350,510467,4073,4.073,15.1833,0
12,520321,520350,1117,1.117,4.45,0
13,520321,520321,0,0,0,0
14,520321,523876,4688,4.688,13.5167,0
15,520321,520916,3264,3.264,10.0833,0
16,520321,525495,2242,2.242,9.01667,0
17,520321,520424,2519,2.519,8.48333,0
18,520321,521150,2545,2.545,9.35,0
19,520321,520341,730,0.73,3.28333,0
20,520321,520297,1370,1.37,5.08333,0
21,520321,520267,1653,1.653,6.73333,0
22,520321,510467,4247,4.247,15.0333,0
23,523876,520350,5545,5.545,15.3,0
24,523876,520321,4941,4.941,14.25,0
25,523876,523876,0,0,0,0
26,523876,520916,2872,2.872,9.05,0
27,523876,525495,3995,3.995,11.55,0
28,523876,520424,3614,3.614,10.4167,0
29,523876,521150,2418,2.418,8.53333,0
30,523876,520341,5157,5.157,14.1333,0
31,523876,520297,4222,4.222,11.4167,0
32,523876,520267,4204,4.204,11.5167,0
33,523876,510467,5549,5.549,16.5833,0
34,520916,520350,4168,4.168,13.3167,0
35,520916,520321,3565,3.565,12.2667,0
36,520916,523876,2428,2.428,8.33333,0
37,520916,520916,0,0,0,0
38,520916,525495,4006,4.006,12.55,0
39,520916,520424,2165,2.165,9.3,0
40,520916,521150,1257,1.257,5.98333,0
41,520916,520341,3780,3.78,12.15,0
42,520916,520297,2846,2.846,9.43333,0
43,520916,520267,2414,2.414,9.56667,0
44,520916,510467,5560,5.56,17.5667,0
45,525495,520350,2862,2.862,11.2667,0
46,525495,520321,2259,2.259,10.2167,0
47,525495,523876,3945,3.945,12.3833,0
48,525495,520916,3074,3.074,12.9333,0
49,525495,525495,0,0,0,0
50,525495,520424,1187,1.187,5.81667,0
51,525495,521150,2328,2.328,10.0333,0
52,525495,520341,2474,2.474,10.1,0
53,525495,520297,2217,2.217,9.45,0
