ID_N,VEHICLE_TYPE_AND_NO_WC_AM_RANGE_ID,SCN_N,VEHICLE_TYPE_ID,VEHICLE_NO,WC_MAX,AM_CG_MAX
1,1,1,3,1,0,8
2,1,2,3,1,0,8
3,1,2,3,2,0,8
4,2,1,3,1,0,8
5,2,1,3,2,0,8
6,2,2,3,1,0,8
7,2,2,3,2,0,8
8,2,2,3,3,0,8
9,3,1,2,1,2,7
10,3,2,2,1,2,7
11,3,2,3,2,0,8
12,4,1,2,1,2,7
13,4,1,3,2,0,8
14,4,2,2,1,2,7
15,4,2,3,2,0,8
16,4,2,3,3,0,8
17,4,3,2,1,2,7
18,4,3,3,2,0,8
19,4,3,3,3,0,8
20,4,3,3,4,0,8
21,5,1,1,1,5,2
22,5,2,1,1,3,6
23,5,2,2,2,2,7
24,6,1,1,1,3,6
25,6,2,2,1,2,7
26,6,2,2,2,2,7
27,6,3,1,1,3,6
28,6,3,3,2,0,8
29,7,1,1,1,3,6
30,7,1,3,2,0,8
31,7,2,2,1,2,7
32,7,2,2,2,1,7
33,8,1,1,1,4,4
34,8,2,2,1,2,7
35,8,2,2,2,2,7
36,8,3,1,1,3,6
37,8,3,2,2,2,7
38,9,1,1,1,4,4
39,9,1,2,2,2,7
40,9,2,1,1,4,4
41,9,2,3,2,0,8
42,9,3,2,1,2,7
43,9,3,2,2,2,7
44,9,4,2,1,2,7
45,9,4,2,2,2,7
46,9,4,3,3,0,8
47,10,1,1,1,5,2
48,10,1,2,2,2,7
49,10,2,1,1,5,2
50,10,2,2,2,2,7
51,10,2,3,3,0,8
52,10,3,1,1,5,2
53,10,3,2,2,2,7
54,10,3,2,3,2,7
55,11,1,1,1,5,2
56,11,1,2,2,2,7
57,11,2,1,1,5,2
58,11,2,2,2,2,7
59,11,2,2,3,2,7
