ID_N, SRC_POSTAL_CODE, DES_POSTAL_CODE, DISTANCE_MT,SEC_N, DISTANCE_KM, MIN_N, T
1,520350,520350,0,0,0,0,0
2,520350,520321,1117,297,1.12,4.95,0
3,520350,523876,5291,904,5.29,15.07,0
4,520350,520916,3867,699,3.87,11.65,0
5,520350,525495,2845,635,2.85,10.58,0
6,520350,520424,3122,603,3.12,10.05,0
7,520350,521150,3148,655,3.15,10.92,0
8,520350,520341,696,206,0.7,3.43,0
9,520350,520297,1973,399,1.97,6.65,0
10,520350,520267,2256,498,2.26,8.3,0
11,520350,510467,4073,911,4.07,15.18,0
12,520321,520350,1117,267,1.12,4.45,0
13,520321,520321,0,0,0,0,0
14,520321,523876,4688,811,4.69,13.52,0
15,520321,520916,3264,605,3.26,10.08,0
16,520321,525495,2242,541,2.24,9.02,0
17,520321,520424,2519,509,2.52,8.48,0
18,520321,521150,2545,561,2.55,9.35,0
19,520321,520341,730,197,0.73,3.28,0
20,520321,520297,1370,305,1.37,5.08,0
21,520321,520267,1653,404,1.65,6.73,0
22,520321,510467,4247,902,4.25,15.03,0
23,523876,520350,5545,918,5.55,15.3,0
24,523876,520321,4941,855,4.94,14.25,0
25,523876,523876,0,0,0,0,0
26,523876,520916,2872,543,2.87,9.05,0
27,523876,525495,3995,693,4,11.55,0
28,523876,520424,3614,625,3.61,10.42,0
29,523876,521150,2418,512,2.42,8.53,0
30,523876,520341,5157,848,5.16,14.13,0
31,523876,520297,4222,685,4.22,11.42,0
32,523876,520267,4204,691,4.2,11.52,0
33,523876,510467,5549,995,5.55,16.58,0
34,520916,520350,4168,799,4.17,13.32,0
35,520916,520321,3565,736,3.57,12.27,0
36,520916,523876,2428,500,2.43,8.33,0
37,520916,520916,0,0,0,0,0
38,520916,525495,4006,753,4.01,12.55,0
39,520916,520424,2165,558,2.17,9.3,0
40,520916,521150,1257,359,1.26,5.98,0
41,520916,520341,3780,729,3.78,12.15,0
42,520916,520297,2846,566,2.85,9.43,0
43,520916,520267,2414,574,2.41,9.57,0
44,520916,510467,5560,1054,5.56,17.57,0
