ID_N,VEHICLE_TYPE_AND_NO_WC_AM_RANGE_ID,SCN_N,VEHICLE_TYPE_ID,VEHICLE_NO,WC_MAX,AM_CG_MAX
1,1,1,3,1,0,8
2,1,2,3,1,0,8
3,1,2,3,2,0,8
4,2,1,3,1,0,8
5,2,1,3,2,0,8
6,2,2,3,1,0,8
7,2,2,3,2,0,8
8,2,2,3,3,0,8
9,2,3,3,1,0,8
10,2,3,3,2,0,8
11,2,3,3,3,0,8
12,2,3,3,4,0,8
13,3,1,2,1,2,7
14,3,2,2,1,2,7
15,3,2,3,2,0,8
16,4,1,2,1,2,7
17,4,1,3,2,0,8
18,4,2,2,1,2,7
19,4,2,3,2,0,8
20,4,2,3,3,0,8
21,4,3,2,1,2,7
22,4,3,3,2,0,8
23,4,3,3,3,0,8
24,4,3,3,4,0,8
25,4,4,2,1,2,7
26,4,4,3,2,0,8
27,4,4,3,3,0,8
28,4,4,3,4,0,8
29,4,4,3,5,0,8
30,5,1,1,1,5,2
31,5,2,1,1,3,6
32,5,2,2,2,2,7
33,5,3,2,1,2,7
34,5,3,2,2,2,7
35,5,3,2,3,2,7
36,6,1,1,1,3,6
37,6,2,2,1,2,7
38,6,2,2,2,2,7
39,6,3,1,1,3,6
40,6,3,3,2,0,8
41,6,4,1,1,3,6
42,6,4,1,2,3,6
43,6,4,1,3,3,6
44,7,1,1,1,3,6
45,7,1,3,2,0,8
46,7,2,2,1,2,7
47,7,2,2,2,1,7
48,7,3,2,1,5,7
49,7,3,2,2,5,7
50,7,3,3,3,5,7
51,7,4,2,1,5,7
52,7,4,2,2,5,7
53,7,4,2,3,5,7
54,7,4,3,4,5,7
55,8,1,1,1,3,6
56,8,1,3,2,0,8
57,8,2,1,1,3,6
58,8,2,3,2,0,8
59,8,2,3,3,0,8
60,9,1,1,1,4,4
61,9,2,2,1,2,7
62,9,2,2,2,2,7
63,9,3,1,1,3,6
64,9,3,2,2,2,7
65,10,1,1,1,4,4
66,10,1,2,2,2,7
67,10,2,1,1,4,4
68,10,2,3,2,0,8
69,10,3,2,1,2,7
70,10,3,2,2,2,7
71,10,4,2,1,2,7
72,10,4,2,2,2,7
73,10,4,2,3,2,7
74,10,5,1,1,5,7
75,10,5,1,2,5,7
76,10,5,1,3,5,7
77,10,5,1,4,5,7
78,11,1,1,1,4,4
79,11,1,1,2,4,4
80,11,1,3,3,0,8
81,11,2,1,1,4,4
82,11,2,1,2,4,4
83,11,2,3,3,0,8
84,11,2,3,4,0,8
85,11,3,1,1,4,4
86,11,3,1,2,4,4
87,11,3,2,3,0,8
88,11,3,2,4,0,8
89,11,3,2,5,0,8
90,12,1,1,1,5,2
91,12,1,2,2,2,7
92,12,2,1,1,5,2
93,12,2,2,2,2,7
94,12,2,3,3,0,8
95,12,3,1,1,5,2
96,12,3,2,2,2,7
97,12,3,2,3,2,7
98,12,4,1,1,5,7
99,12,4,1,2,5,7
100,12,4,1,3,5,7
101,12,4,1,4,5,7
102,12,5,1,1,5,7
103,12,5,1,2,5,7
104,12,5,1,3,5,7
105,12,5,1,4,5,7
106,12,5,1,5,5,7
107,13,1,1,2,5,7
108,13,1,2,1,5,7
109,13,1,3,3,5,7
110,13,2,1,1,5,7
111,13,2,1,2,5,7
112,13,3,1,1,5,7
113,13,3,1,2,5,7
114,13,3,1,3,5,7
115,13,3,1,4,5,7
116,13,4,1,1,5,7
117,13,4,1,2,5,7
118,13,4,1,3,5,7
119,13,4,1,4,5,7
120,13,4,1,5,5,7
121,13,5,1,1,5,7
122,13,5,1,2,5,7
123,13,5,1,3,5,7
124,13,5,1,4,5,7
125,13,5,1,5,5,7
126,13,5,1,6,5,7
127,14,1,1,1,5,2
128,14,1,3,2,0,8
129,14,1,3,3,0,8
130,14,2,1,1,3,6
131,14,2,2,2,2,7
132,14,2,3,3,0,8
133,14,3,1,1,3,6
134,14,3,2,2,2,7
135,14,3,3,3,0,8
136,14,3,3,4,0,8
137,15,1,1,1,5,2
138,15,1,2,2,2,7
139,15,2,1,1,5,2
140,15,2,2,2,2,7
141,15,2,2,3,2,7
142,15,3,1,1,5,7
143,15,3,1,2,5,7
144,15,3,1,3,5,7
145,15,3,1,4,5,7
146,16,1,1,1,5,7
147,16,1,1,2,5,7
148,16,1,3,3,5,7
149,16,1,3,4,5,7
150,16,2,1,1,5,7
151,16,2,1,2,5,7
152,16,2,1,3,5,7
153,16,2,1,4,5,7
154,16,2,1,5,5,7
155,16,3,1,1,5,7
156,16,3,1,2,5,7
157,16,3,1,3,5,7
158,16,3,1,4,5,7
159,16,3,1,5,5,7
160,16,3,1,6,5,7
161,17,1,1,1,5,7
162,17,1,1,2,5,7
163,17,1,1,3,5,7
164,17,1,1,4,5,7
165,18,1,1,1,5,2
166,18,1,1,2,4,4
167,18,2,1,1,5,2
168,18,2,2,2,2,7
169,18,2,2,3,2,7
170,19,1,1,1,5,2
171,19,1,1,2,4,4
172,19,1,3,3,0,8
173,20,1,1,1,5,2
174,20,1,1,2,4,4
175,20,1,3,3,0,8
176,20,2,1,1,3,6
177,20,2,1,2,3,6
178,20,2,1,3,3,6
179,21,1,1,1,3,6
180,21,1,1,2,3,6
181,21,1,1,3,3,6
182,21,2,1,1,3,6
183,21,2,1,2,3,6
184,21,2,1,3,3,6
185,21,2,3,4,0,8
186,21,3,1,1,3,6
187,21,3,1,2,3,6
188,21,3,1,3,3,6
189,21,3,3,4,0,8
190,21,3,3,5,0,8
